_id,start_station_id,start_station_name,start_station_latitude,start_station_longitude
ObjectId("5e4e2e36dbd3e62f6ebce44e"),262,Washington Park,40.6917823,-73.9737299
ObjectId("5e4e2e36dbd3e62f6ebce44f"),264,Maiden Ln & Pearl St,40.70706456,-74.00731853
ObjectId("5e4e2e36dbd3e62f6ebce450"),265,Stanton St & Chrystie St,40.72229346,-73.99147535
ObjectId("5e4e2e36dbd3e62f6ebce451"),266,Avenue D & E 8 St,40.72368361,-73.97574813
ObjectId("5e4e2e36dbd3e62f6ebce452"),267,Broadway & W 36 St,40.75097711,-73.98765428
ObjectId("5e4e2e36dbd3e62f6ebce453"),268,Howard St & Centre St,40.71910537,-73.99973337
ObjectId("5e4e2e36dbd3e62f6ebce454"),270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
ObjectId("5e4e2e36dbd3e62f6ebce455"),274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682
ObjectId("5e4e2e36dbd3e62f6ebce456"),275,Washington Ave & Greene Ave,40.68650065,-73.96563307
ObjectId("5e4e2e36dbd3e62f6ebce457"),276,Duane St & Greenwich St,40.71748752,-74.0104554
ObjectId("5e4e2e36dbd3e62f6ebce458"),278,Concord St & Bridge St,40.69766564,-73.98476437
ObjectId("5e4e2e36dbd3e62f6ebce459"),279,Peck Slip & Front St,40.707873,-74.00167
ObjectId("5e4e2e36dbd3e62f6ebce45a"),280,E 10 St & 5 Ave,40.73331967,-73.99510132
ObjectId("5e4e2e36dbd3e62f6ebce45b"),281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
ObjectId("5e4e2e36dbd3e62f6ebce45c"),282,Kent Ave & S 11 St,40.70764494,-73.96841526
ObjectId("5e4e2e36dbd3e62f6ebce45d"),284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761
ObjectId("5e4e2e36dbd3e62f6ebce45e"),285,Broadway & E 14 St,40.73454567,-73.99074142
ObjectId("5e4e2e36dbd3e62f6ebce45f"),289,Monroe St & Classon Ave,40.6845683,-73.95881081
ObjectId("5e4e2e36dbd3e62f6ebce460"),291,Madison St & Montgomery St,40.713126,-73.984844
ObjectId("5e4e2e36dbd3e62f6ebce461"),293,Lafayette St & E 8 St,40.73020661,-73.99102628
ObjectId("5e4e2e36dbd3e62f6ebce462"),295,Pike St & E Broadway,40.71406667,-73.99293911
ObjectId("5e4e2e36dbd3e62f6ebce463"),296,Division St & Bowery,40.71413089,-73.9970468
ObjectId("5e4e2e36dbd3e62f6ebce464"),297,E 15 St & 3 Ave,40.734232,-73.986923
ObjectId("5e4e2e36dbd3e62f6ebce465"),298,3 Ave & Schermerhorn St,40.68683208,-73.9796772
ObjectId("5e4e2e36dbd3e62f6ebce466"),3002,South End Ave & Liberty St,40.711512,-74.015756
ObjectId("5e4e2e36dbd3e62f6ebce467"),301,E 2 St & Avenue B,40.72217444,-73.98368779
ObjectId("5e4e2e36dbd3e62f6ebce468"),3016,Kent Ave & N 7 St,40.72036775,-73.96165073
ObjectId("5e4e2e36dbd3e62f6ebce469"),302,Avenue D & E 3 St,40.72082834,-73.97793172
ObjectId("5e4e2e36dbd3e62f6ebce46a"),303,Mercer St & Spring St,40.72362738,-73.99949601
ObjectId("5e4e2e36dbd3e62f6ebce46b"),304,Broadway & Battery Pl,40.70463334,-74.01361706
ObjectId("5e4e2e36dbd3e62f6ebce46c"),3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771
ObjectId("5e4e2e36dbd3e62f6ebce46d"),3042,Fulton St & Utica Ave,40.6794268,-73.9298911
ObjectId("5e4e2e36dbd3e62f6ebce46e"),3043,Lewis Ave & Decatur St,40.6814598,-73.934903
ObjectId("5e4e2e36dbd3e62f6ebce46f"),3044,Albany Ave & Fulton St,40.6800105,-73.938475
ObjectId("5e4e2e36dbd3e62f6ebce470"),3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
ObjectId("5e4e2e36dbd3e62f6ebce471"),3047,Halsey St & Tompkins Ave,40.6823687,-73.944118
ObjectId("5e4e2e36dbd3e62f6ebce472"),3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977
ObjectId("5e4e2e36dbd3e62f6ebce473"),3049,Cambridge Pl & Gates Ave,40.68488,-73.96304
ObjectId("5e4e2e36dbd3e62f6ebce474"),305,E 58 St & 3 Ave,40.76095756,-73.96724467
ObjectId("5e4e2e36dbd3e62f6ebce475"),3050,Putnam Ave & Throop Ave,40.6851532,-73.94111
ObjectId("5e4e2e36dbd3e62f6ebce476"),3052,Lewis Ave & Madison St,40.686312,-73.935775
ObjectId("5e4e2e36dbd3e62f6ebce477"),3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915
ObjectId("5e4e2e36dbd3e62f6ebce478"),3054,Greene Ave & Throop Ave,40.6894932,-73.942061
ObjectId("5e4e2e36dbd3e62f6ebce479"),3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916
ObjectId("5e4e2e36dbd3e62f6ebce47a"),3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
ObjectId("5e4e2e36dbd3e62f6ebce47b"),3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
ObjectId("5e4e2e36dbd3e62f6ebce47c"),3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
ObjectId("5e4e2e36dbd3e62f6ebce47d"),3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877
ObjectId("5e4e2e36dbd3e62f6ebce47e"),3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
ObjectId("5e4e2e36dbd3e62f6ebce47f"),3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094
ObjectId("5e4e2e36dbd3e62f6ebce480"),3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
ObjectId("5e4e2e36dbd3e62f6ebce481"),3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
ObjectId("5e4e2e36dbd3e62f6ebce482"),3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
ObjectId("5e4e2e36dbd3e62f6ebce483"),3065,Union Ave & Wallabout St,40.70029511,-73.95032283
ObjectId("5e4e2e36dbd3e62f6ebce484"),3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
ObjectId("5e4e2e36dbd3e62f6ebce485"),3067,Broadway & Whipple St,40.7016657,-73.9437303
ObjectId("5e4e2e36dbd3e62f6ebce486"),3068,Humboldt St & Varet St,40.7031724,-73.940636
ObjectId("5e4e2e36dbd3e62f6ebce487"),3069,Lorimer St & Broadway,40.70411791,-73.94818595
ObjectId("5e4e2e36dbd3e62f6ebce488"),307,Canal St & Rutgers St,40.71427487,-73.98990025
ObjectId("5e4e2e36dbd3e62f6ebce489"),3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279
ObjectId("5e4e2e36dbd3e62f6ebce48a"),3071,Boerum St & Broadway,40.70538077,-73.94976519
ObjectId("5e4e2e36dbd3e62f6ebce48b"),3072,Leonard St & Boerum St,40.70583339,-73.94644578
ObjectId("5e4e2e36dbd3e62f6ebce48c"),3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
ObjectId("5e4e2e36dbd3e62f6ebce48d"),3075,Division Ave & Marcy Ave,40.70708701,-73.95796783
ObjectId("5e4e2e36dbd3e62f6ebce48e"),3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625
ObjectId("5e4e2e36dbd3e62f6ebce48f"),3077,Stagg St & Union Ave,40.70877084,-73.95095259
ObjectId("5e4e2e36dbd3e62f6ebce490"),3078,Broadway & Roebling St,40.70924826,-73.96063149
ObjectId("5e4e2e36dbd3e62f6ebce491"),308,St James Pl & Oliver St,40.71307916,-73.99851193
ObjectId("5e4e2e36dbd3e62f6ebce492"),3080,S 4 St & Rodney St,40.70934,-73.95608
ObjectId("5e4e2e36dbd3e62f6ebce493"),3081,Graham Ave & Grand St,40.711863,-73.944024
ObjectId("5e4e2e36dbd3e62f6ebce494"),3082,Hope St & Union Ave,40.71167351,-73.95141312
ObjectId("5e4e2e36dbd3e62f6ebce495"),3083,Bushwick Ave & Powers St,40.71247661,-73.94100005
ObjectId("5e4e2e36dbd3e62f6ebce496"),3085,Roebling St & N 4 St,40.71469,-73.95739
ObjectId("5e4e2e36dbd3e62f6ebce497"),3086,Graham Ave & Conselyea St,40.715143,-73.944507
ObjectId("5e4e2e36dbd3e62f6ebce498"),3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
ObjectId("5e4e2e36dbd3e62f6ebce499"),3088,Union Ave & Jackson St,40.7160751,-73.952029
ObjectId("5e4e2e36dbd3e62f6ebce49a"),309,Murray St & West St,40.7149787,-74.013012
ObjectId("5e4e2e36dbd3e62f6ebce49b"),3092,Berry St & N 8 St,40.7190095,-73.95852515
ObjectId("5e4e2e36dbd3e62f6ebce49c"),3093,N 6 St & Bedford Ave,40.71745169,-73.95850939
